CusID,CusName,Gender,PhoneNumber,Address
955,Chan Sovanna,F,013 057 100,Takeo
391,Vong Dara,F,084 049 005,Kep
847,Theng Vanna,,,Pursat
854,Thy Dara,F,093 088 039,Kampong Cham
59,Thach Veasna,M,069 028 038,Takeo
518,Yin Vanna,F,016 032 080,Pursat
617,Ngoun Sokchea,M,090 045 038,Takeo
371,Tang Chan,M,060 062 027,Mondulkiri
255,Chan Ratanak,M,066 014 092,Prey Veng
808,Ouk Sophea,F,066 087 084,Mondulkiri
657,You Rina,M,031 078 051,Ratanakiri
723,Heng Bopha,M,018 067 098,Siem Reap
706,Vong Sovanna,F,017 086 086,Phnom Penh
597,You Vanna,F,078 051 043,Kampong Cham
406,Kim Nita,F,087 051 027,Koh Kong
71,Toch Rathana,F,015 017 086,
535,Lim Sokchea,M,038 030 030,
97,Sam Sreytouch,M,092 001 083,
397,Yun Sophea,F,086 095 032,Kampong Cham
756,Keo Sreyneang,F,060 099 078,Siem Reap
976,Heng Dara,M,083 042 012,Siem Reap
758,Kong Monineath,M,068 058 068,Tboung Khmum
817,Tol Ratanak,M,077 040 056,Stung Treng
623,Ouk Narin,F,012 026 056,Kampot
56,Yun Veasna,M,,Oddar Meanchey
740,Yun Chhun,F,,
110,Yin Visal,M,069 001 053,Phnom Penh
400,Chea Dara,F,060 032 079,
819,Yon Dara,M,010 023 039,Ratanakiri
684,You Rathana,M,085 081 046,Preah Vihear
60,Thach Rina,M,096 079 060,
289,Heng Sophea,,098 051 017,Svay Rieng
471,Kong Sok,M,095 057 004,Kratie
894,Heng Vanna,F,093 090 011,Preah Vihear
485,Yun Rathana,F,,Svay Rieng
175,Chan Bopha,F,061 046 027,
999,Thy Vanna,,016 036 015,Kandal
112,Yun Visal,M,018 058 045,Mondulkiri
4,Thy Sokhom,F,080 062 085,Battambang
648,Tol Chan,F,031 074 008,
424,Keo Thida,F,085 082 010,Mondulkiri
271,Tang Dara,F,018 052 017,Banteay Meanchey
586,Yin Rathana,M,066 074 054,Banteay Meanchey
904,Theng Ravy,M,061 003 082,Kampot
233,Theng Sreyneang,F,,Kampong Speu
66,Seng Dara,F,093 021 094,Mondulkiri
712,Chuon Veasna,M,038 007 072,Kampong Cham
234,Keo Visal,M,085 099 014,Kampong Cham
401,Tol Sreytouch,M,099 010 044,Koh Kong
699,Vong Sokhom,F,081 076 003,Banteay Meanchey
451,Kong Chenda,F,067 069 095,Ratanakiri
814,Suon Veasna,F,080 096 085,Kampong Speu
164,You Sokhom,,013 037 074,Kampot
919,Yun Sokchea,F,070 044 069,Banteay Meanchey
452,Tol Srey,M,085 057 061,Pailin
533,Suon Dara,F,096 050 048,Pailin
261,Ouk Sok,F,088 018 043,Prey Veng
388,Lim Chan,F,038 070 035,Banteay Meanchey
411,Chhim Rathana,F,081 012 079,Kampong Cham
83,Suon Piseth,F,038 093 002,Koh Kong
987,Yon Sopheap,M,013 091 091,Preah Sihanouk
383,Yun Bopha,F,018 081 053,Oddar Meanchey
532,Mao Sok,F,095 042 069,Pailin
49,Seng Sokun,F,018 017 073,Oddar Meanchey
441,Rath Ratanak,M,095 040 049,
290,Ung Srey,M,096 035 002,Stung Treng
930,Yun Vanna,M,077 014 074,Mondulkiri
93,Toch Sopheap,M,097 010 008,Siem Reap
883,Keo Sovan,F,096 034 042,Pursat
189,Ung Narin,M,076 085 071,Battambang
530,Sam Thida,F,080 057 029,Kandal
42,Lim Piseth,M,095 008 088,Takeo
509,Tith Sophea,M,061 092 027,Kampong Speu
552,Tol Piseth,M,090 069 028,Tboung Khmum
275,Seng Sok,M,069 073 066,Kampong Speu
688,Chuon Sovanna,F,080 024 064,Kampong Chhnang
774,Sam Narin,F,012 014 099,Ratanakiri
